Dataset,Model,Whitebox,Layers_Used,Poolers_Used,Seed,predict_accuracy,predict_f1,predict_precision,predict_recall
toxigen,llama7B,SVM,All,mean_with_attention,42,0.8148936170212766,0.6836363636363637,0.706766917293233,0.6619718309859155
toxigen,llama7B,Decision_Tree,All,mean_with_attention,42,0.7712765957446809,0.5124716553287981,0.7197452229299363,0.397887323943662
toxigen,llama7B,KNN,All,mean_with_attention,42,0.798936170212766,0.64,0.6970954356846473,0.5915492957746479
toxigen,llama7B,L_Means,All,mean_with_attention,42,0.6978723404255319,0.0,0.0,0.0
toxigen,llama7B,SVM,Embedding Only,mean_with_attention,42,0.6840425531914893,0.5139116202945991,0.4801223241590214,0.5528169014084507
toxigen,llama7B,Decision_Tree,Embedding Only,mean_with_attention,42,0.6882978723404255,0.17927170868347342,0.4383561643835616,0.11267605633802817
toxigen,llama7B,KNN,Embedding Only,mean_with_attention,42,0.7457446808510638,0.5051759834368531,0.6130653266331658,0.4295774647887324
toxigen,llama7B,L_Means,Embedding Only,mean_with_attention,42,0.6978723404255319,0.0,0.0,0.0
toxigen,llama7B,SVM,Embedding + Last,mean_with_attention,42,0.774468085106383,0.528888888888889,0.7168674698795181,0.41901408450704225
toxigen,llama7B,Decision_Tree,Embedding + Last,mean_with_attention,42,0.7074468085106383,0.10423452768729642,0.6956521739130435,0.056338028169014086
toxigen,llama7B,KNN,Embedding + Last,mean_with_attention,42,0.7670212765957447,0.4798099762470309,0.7372262773722628,0.35563380281690143
toxigen,llama7B,L_Means,Embedding + Last,mean_with_attention,42,0.6978723404255319,0.0,0.0,0.0
toxigen,llama7B,SVM,Last Only,mean_with_attention,42,0.7904255319148936,0.6513274336283185,0.6548042704626335,0.647887323943662
toxigen,llama7B,Decision_Tree,Last Only,mean_with_attention,42,0.7468085106382979,0.43601895734597157,0.6666666666666666,0.323943661971831
toxigen,llama7B,KNN,Last Only,mean_with_attention,42,0.8053191489361702,0.6839378238341969,0.6711864406779661,0.6971830985915493
toxigen,llama7B,L_Means,Last Only,mean_with_attention,42,0.7308510638297873,0.617246596066566,0.5411140583554377,0.7183098591549296
