Dataset,Model,Logits,DKNN_method,eval_accuracy,predict_accuracy,eval_f1,eval_f1-positive,eval_f1-negative,predict_f1,predict_f1-positive,predict_f1-negative,eval_precision,predict_precision,eval_recall,predict_recall,eval_confidence,predict_confidence
twitter-hate,Bart-large,Scores,None,0.9114223246469302,0.9069904863203924,0.40397614314115304,0.40397614314115304,0.9521560116178864,0.4037878787878788,0.4037878787878788,0.9495609818624623,0.28896473265073946,0.2904632152588556,0.6710700132100397,0.662111801242236,0.8563927218432735,0.8530718924265989
twitter-hate,Bart-large,Conformal P-value,Conformal,0.9593452697512261,0.9562725285114932,0.23385300668151446,0.23385300668151446,0.9791186111448342,0.2127659574468085,0.2127659574468085,0.9775116999939221,0.7446808510638298,0.7407407407407407,0.13870541611624834,0.12422360248447205,0.9502482689038269,0.9473545052106322
twitter-hate,Bart-large,log-probability,Normal,0.9593452697512261,0.9562725285114932,0.23385300668151446,0.23385300668151446,0.9791186111448342,0.2127659574468085,0.2127659574468085,0.9775116999939221,0.7446808510638298,0.7407407407407407,0.13870541611624834,0.12422360248447205,0.9327813683670713,0.9295149692303237
twitter-hate,DeBerta-large,Scores,None,0.9414406429120132,0.9394315428706494,0.4288184438040346,0.4288184438040346,0.9691383015166142,0.43338861249309013,0.43338861249309013,0.9680057433592408,0.3803680981595092,0.3904382470119522,0.4914134742404227,0.48695652173913045,0.9372396258669055,0.9344817908289079
twitter-hate,DeBerta-large,Conformal P-value,Conformal,0.9598179991727235,0.9572179873544879,0.28118393234672306,0.28118393234672306,0.9793313069908814,0.2701612903225806,0.2701612903225806,0.9779631095148232,0.7037037037037037,0.7165775401069518,0.17569352708058125,0.16645962732919253,0.9497099174834706,0.9467836035409
twitter-hate,DeBerta-large,log-probability,Normal,0.9598179991727235,0.9572179873544879,0.28118393234672306,0.28118393234672306,0.9793313069908814,0.2701612903225806,0.2701612903225806,0.9779631095148232,0.7037037037037037,0.7165775401069518,0.17569352708058125,0.16645962732919253,0.9351903374887726,0.9315670206006192
toxigen,Bart-large,Scores,None,0.851010101010101,0.8042553191489362,0.8527209186220669,0.8527209186220669,0.8492590700051099,0.8311926605504587,0.8311926605504587,0.7670886075949367,0.8868120456905504,0.8952569169960475,0.8211538461538461,0.7756849315068494,0.8061478026901029,0.7637440694109076
toxigen,Bart-large,Conformal P-value,Conformal,0.8358585858585859,0.8085106382978723,0.8460445286594032,0.8460445286594032,0.824229313142239,0.8369565217391304,0.8369565217391304,0.7680412371134021,0.8338001867413632,0.8884615384615384,0.8586538461538461,0.791095890410959,0.4667725229748494,0.3947367290425533
toxigen,Bart-large,log-probability,Normal,0.8358585858585859,0.8085106382978723,0.8460445286594032,0.8460445286594032,0.824229313142239,0.8369565217391304,0.8369565217391304,0.7680412371134021,0.8338001867413632,0.8884615384615384,0.8586538461538461,0.791095890410959,0.731453666904313,0.6477983350440549
toxigen,DeBerta-large,Scores,None,0.8434343434343434,0.8329787234042553,0.8539114043355325,0.8539114043355325,0.8313384113166484,0.8647717484926787,0.8647717484926787,0.7816411682892906,0.8373382624768947,0.8700173310225303,0.8711538461538462,0.8595890410958904,0.8373348703463865,0.8263315566275823
toxigen,DeBerta-large,Conformal P-value,Conformal,0.8292929292929293,0.8031914893617021,0.8435185185185184,0.8435185185185184,0.8122222222222222,0.8370044052863436,0.8370044052863436,0.7516778523489932,0.8133928571428571,0.8620689655172413,0.8759615384615385,0.8133561643835616,0.46608101200413127,0.38581130438459105
toxigen,DeBerta-large,log-probability,Normal,0.8292929292929293,0.8031914893617021,0.8435185185185184,0.8435185185185184,0.8122222222222222,0.8370044052863436,0.8370044052863436,0.7516778523489932,0.8133928571428571,0.8620689655172413,0.8759615384615385,0.8133561643835616,0.7111133069240216,0.6599074931707095
