,Dataset,Model,Whitebox,Layers_Used,Poolers_Used,predict_accuracy,predict_micro_f1,predict_micro_precision,predict_micro_recall,predict_macro_f1,predict_macro_precision,predict_macro_recall,predict_weighted_f1,predict_weighted_precision,predict_weighted_recall,predict_0_f1,predict_0_precision,predict_0_recall,predict_1_f1,predict_1_precision,predict_1_recall,predict_2_f1,predict_2_precision,predict_2_recall
0,E-SNLI,Flan-T5-Large,KNN,Last Only,mean_with_attention,0.9003460912052117,0.9003460912052117,0.9003460912052117,0.9003460912052117,0.9002643096207961,0.9002703513755557,0.9002691970876858,0.9003834999652409,0.9004319206627002,0.9003460912052117,0.9039463886820551,0.9067821930086645,0.9011282660332541,0.8620102214650767,0.8594811612106238,0.8645542093817956,0.9348363187152563,0.9345476999073788,0.9351251158480074
1,E-SNLI,Flan-T5-Large,SVM,Last Only,mean_with_attention,0.9122557003257329,0.9122557003257329,0.9122557003257329,0.9122557003257329,0.912000976964091,0.9119474511556646,0.9121086401209845,0.9121211836807788,0.9120400509055377,0.9122557003257329,0.9165307635285396,0.9153094462540716,0.9177553444180523,0.8793616022531685,0.8858764186633039,0.872941907424666,0.940110565110565,0.9346564885496184,0.9456286685202347
2,E-SNLI,Flan-T5-Large,Decision Tree,Last Only,mean_with_attention,0.9076750814332247,0.9076750814332247,0.9076750814332247,0.9076750814332247,0.9072963772430932,0.9072951675009424,0.9074179425475674,0.9074710568254913,0.9073862494680406,0.9076750814332247,0.9155345540460721,0.9106933019976499,0.9204275534441805,0.871915763004872,0.8823155216284987,0.8617583100341721,0.9344388146783357,0.9288766788766789,0.9400679641643497
3,E-SNLI,Flan-T5-Large,K-Means,Last Only,mean_with_attention,0.8876221498371335,0.8876221498371335,0.8876221498371335,0.8876221498371335,0.8883276662512304,0.8928622852317956,0.8872423955889935,0.8887101430046858,0.8932012551874713,0.8876221498371335,0.9109437306158618,0.9062591830737584,0.9156769596199525,0.844175044352454,0.8053596614950634,0.8869214041627834,0.9098642237853753,0.9669680111265647,0.8591288229842446
